sample	irma_HA	irma_NA	vapor_HA	vapor_NA
SRR3098078	?	?	9	2
SRR1521153	3	8	3	8
SRR5428784	1	?	1	?
SRR7974487	3	?	3	?
SRR14341089	1	1	1	1
SRR10015147	?	1	?	1
SRR27490361	1	1	1	1
SRR24839074	5	1	5	1
SRR24839293	5	1	5	1
SRR24839512	5	1	5	1
SRR24839731	5	1	5	1
SRR24843238	5	1	5	1
SRR28073557	?	?	3	2
SRR13318574	1	?	1	?
SRR14996552	?	2	?	2
SRR15282589	2	2	2	2
SRR15282815	2	2	2	2
SRR19392179	1	1	1	1
SRR17349418	7	3	7	3
SRR4420142	1	1	1	1
SRR6674560	3	2	3	2
SRR11445778	3	2	3	2
SRR11445997	3	2	3	2
SRR8893303	3	?	3	?
SRR10960857	3	2	3	2
SRR10161120	?	?	?	?
SRR10058426	3	?	?	?
SRR14242158	3	2	3	2
SRR23717289	3	2	3	2
SRR25222433	9	2	9	2
SRR28420271	3	2	3	2
SRR28752564	5	1	5	1
SRR28388424	1	1	1	1
SRR24842841	5	1	5	1
SRR24843204	5	1	5	1
SRR12389595	3	8	3	8
SRR16232025	7	9	7	9
SRR16359814	9	2	9	2
SRR18273475	3	2	3	2
SRR28995119	1	1	1	1
SRR29040774	3	2	3	2
SRR29455647	5	1	5	1
SRR29740564	5	1	5	1
SRR29267679	3	2	3	2
SRR29281447	5	1	5	1
SRR29360497	3	2	3	2
SRR29377895	5	1	5	1
SRR23143804	3	2	3	2
SRR30202051	5	1	5	1
SRR30027723	3	2	3	2
SRR27384572	3	2	3	2
SRR29694533	5	1	5	1
SRR27181059	3	2	3	2
SRR27181278	3	2	3	2
SRR27181497	3	2	3	2
SRR27181716	1	1	1	1
SRR30610040	?	?	?	?
SRR30714652	3	2	?	?
SRR30546773	3	2	3	2
SRR30589488	3	2	3	2
SRR3098101	?	?	5	6
SRR1521154	3	8	3	8
SRR5428785	1	?	1	?
SRR7974488	3	?	3	?
SRR14341090	1	1	1	1
SRR11908080	6	5	6	5
SRR27490362	1	1	1	1
SRR24839075	5	1	5	1
SRR24839294	5	1	5	1
SRR24839513	5	1	5	1
SRR24839732	5	1	5	1
SRR24843239	5	1	5	1
SRR28073558	?	?	1	1
SRR13318575	1	?	1	?
SRR15282364	2	2	2	2
SRR15282590	2	2	2	2
SRR15282816	2	2	2	2
SRR19392180	1	1	1	1
SRR17349419	7	3	7	3
SRR4420143	1	1	1	1
SRR6674561	3	2	3	2
SRR11445779	3	2	3	2
SRR11445998	3	2	3	2
SRR8893304	3	?	3	?
SRR10960858	3	2	3	2
SRR10161121	?	?	?	?
SRR10058427	3	?	?	?
SRR25784102	3	2	3	2
SRR14242159	3	2	3	2
SRR23717290	3	2	3	2
SRR25222434	9	2	9	2
SRR28420279	3	2	3	2
SRR28752565	5	1	5	1
SRR28388425	?	?	1	?
SRR24842842	5	1	5	1
SRR24843212	5	1	5	1
SRR12389596	9	2	9	2
SRR16232026	7	9	7	9
SRR16359815	9	2	9	2
SRR18273476	3	2	3	2
SRR28995120	1	1	1	1
SRR29040775	3	2	3	2
SRR29478177	1	1	1	1
SRR29740674	5	1	5	1
SRR29267680	3	2	3	2
SRR29281448	5	1	5	1
SRR29360498	1	1	1	1
SRR29377896	5	1	5	1
SRR29008725	3	2	3	2
ERR13358324	3	2	3	2
SRR30027724	1	1	1	1
SRR27384573	3	2	3	2
SRR29694534	5	1	5	1
SRR27181060	3	2	?	2
SRR27181279	?	?	?	?
SRR27181498	3	2	3	2
SRR27181717	3	2	3	2
SRR30610041	?	?	?	?
SRR30714653	3	2	3	2
SRR30546774	3	2	3	2
SRR30589489	3	2	3	2
SRR3098125	?	?	6	6
SRR1521155	3	8	3	8
SRR5428786	1	?	1	?
SRR7974489	3	?	3	?
SRR14341091	1	1	1	1
SRR27490363	1	1	1	1
SRR24839076	5	1	5	1
SRR24839295	5	1	5	1
SRR24839514	5	1	5	1
SRR24839733	5	1	5	1
SRR24843241	5	1	5	1
SRR28073559	?	?	3	2
SRR13318576	1	?	1	?
SRR15282365	2	2	2	2
SRR15282591	2	2	2	2
SRR15282817	2	2	2	2
SRR19392181	1	1	1	1
SRR17349420	7	3	7	3
SRR4420144	1	1	1	1
SRR6674562	3	2	3	2
SRR11445780	3	2	3	2
SRR11445999	3	2	3	2
SRR8893305	3	?	3	?
SRR10960859	3	2	3	2
SRR10161122	?	?	?	?
SRR10058428	3	?	3	?
SRR25784103	3	2	3	2
SRR14242160	3	2	3	2
SRR23717291	3	2	3	2
SRR25222435	9	2	9	2
SRR28420307	3	2	3	2
SRR28752566	5	1	5	1
SRR28388426	1	1	1	1
SRR24842843	5	1	5	1
SRR24843213	5	1	5	1
SRR12389597	4	8	?	8
SRR16232027	7	9	7	9
SRR16359816	9	2	9	2
SRR18273477	3	2	3	2
SRR29951903	1	1	1	1
SRR28995121	1	1	1	1
SRR29040776	1	1	1	1
SRR29478178	1	1	1	1
SRR29740675	5	1	5	1
SRR29267681	3	2	3	2
SRR29281449	5	1	5	1
SRR29360499	3	2	3	2
SRR29377897	5	1	5	1
SRR29008726	3	2	3	2
ERR13358294	3	2	3	2
SRR30027725	3	2	3	2
SRR27384574	1	1	1	1
SRR29694535	5	1	5	1
SRR27181061	3	2	3	2
SRR27181280	3	2	3	2
SRR27181499	3	2	3	2
SRR27181718	3	2	3	2
