Sample	Segment	Distance	Path
ERR11523534	NA	-1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR11523534/MSA_NA.fa
ERR12036763	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR12036763/MSA_NA.fa
ERR13358293	PA	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358293/MSA_PA.fa
ERR13358298	NP	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358298/MSA_NP.fa
ERR13358301	PA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358301/MSA_PA.fa
ERR13358303	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358303/MSA_PA.fa
ERR13358304	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358304/MSA_PA.fa
ERR13358305	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358305/MSA_PA.fa
ERR13358307	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358307/MSA_PA.fa
ERR13358310	PA	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358310/MSA_PA.fa
ERR13358316	NP	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358316/MSA_NP.fa
ERR13358320	PA	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358320/MSA_PA.fa
ERR13358321	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR13358321/MSA_PA.fa
ERR3474581	PA	4	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474581/MSA_PA.fa
ERR3474582	PB1	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474582/MSA_PB1.fa
ERR3474592	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474592/MSA_NA.fa
ERR3474597	PB1	6	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474597/MSA_PB1.fa
ERR3474598	PB1	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474598/MSA_PB1.fa
ERR3474615	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474615/MSA_NA.fa
ERR3474617	PB2	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474617/MSA_PB2.fa
ERR3474618	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474618/MSA_PA.fa
ERR3474626	PB2	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474626/MSA_PB2.fa
ERR3474628	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474628/MSA_PA.fa
ERR3474631	PA	3	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474631/MSA_PA.fa
ERR3474636	HA	-1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR3474636/MSA_HA.fa
ERR4552844	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552844/MSA_PA.fa
ERR4552845	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552845/MSA_NS.fa
ERR4552845	PA	5	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552845/MSA_PA.fa
ERR4552846	HA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552846/MSA_HA.fa
ERR4552846	MP	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552846/MSA_MP.fa
ERR4552846	NA	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552846/MSA_NA.fa
ERR4552846	NS	1	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552846/MSA_NS.fa
ERR4552846	PA	6	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552846/MSA_PA.fa
ERR4552884	PA	2	/home/galaxy/akolbecher/workdir/quality_comparison/consensus_comparisom/compare_vapor_vaporClustRef/ERR4552884/MSA_PA.fa
